description,variables,value,unit,unit(3d histogram),,,,15
Counter for Range within (60 70]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[79],0,(60 70],-16,0136374_2020-8-20-16-34-15,,,
Counter for Range within (60 70]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[86],0,(60 70],-2,0136374_2020-8-20-16-34-15,,,
Counter for Range within (60 70]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[89],0,(60 70],4,0136374_2020-8-20-16-34-15,,,
Counter for Range within (60 70]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[85],0,(60 70],-4,0136374_2020-8-20-16-34-15,,,
Counter for Range within (60 70]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[84],0,(60 70],-6,0136374_2020-8-20-16-34-15,,,
Counter for Range within (60 70]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[83],0,(60 70],-8,0136374_2020-8-20-16-34-15,,,
Counter for Range within (70 80]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[103],0,(70 80],6,0136374_2020-8-20-16-34-15,,,
Counter for Range within (70 80]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[91],0,(70 80],-18,0136374_2020-8-20-16-34-15,,,
Counter for Range within (70 80]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[100],0,(70 80],0,0136374_2020-8-20-16-34-15,,,
Counter for Range within (70 80]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[101],0,(70 80],2,0136374_2020-8-20-16-34-15,,,
Counter for Range within (70 80]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[95],0,(70 80],-10,0136374_2020-8-20-16-34-15,,,
Counter for Range within (70 80]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[94],0,(70 80],-12,0136374_2020-8-20-16-34-15,,,
Counter for Range within (70 80]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[93],0,(70 80],-14,0136374_2020-8-20-16-34-15,,,
Counter for Range within (70 80]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[92],0,(70 80],-16,0136374_2020-8-20-16-34-15,,,
Counter for Range within (70 80]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[99],0,(70 80],-2,0136374_2020-8-20-16-34-15,,,
Counter for Range within (70 80]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[102],0,(70 80],4,0136374_2020-8-20-16-34-15,,,
Counter for Range within (70 80]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[98],0,(70 80],-4,0136374_2020-8-20-16-34-15,,,
Counter for Range within (70 80]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[97],0,(70 80],-6,0136374_2020-8-20-16-34-15,,,
Counter for Range within (70 80]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[96],0,(70 80],-8,0136374_2020-8-20-16-34-15,,,
Counter for Range within (80 90]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[116],0,(80 90],6,0136374_2020-8-20-16-34-15,,,
Counter for Range within (80 90]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[104],0,(80 90],-18,0136374_2020-8-20-16-34-15,,,
Counter for Range within (80 90]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[113],0,(80 90],0,0136374_2020-8-20-16-34-15,,,
Counter for Range within (80 90]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[114],0,(80 90],2,0136374_2020-8-20-16-34-15,,,
Counter for Range within (80 90]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[108],0,(80 90],-10,0136374_2020-8-20-16-34-15,,,
Counter for Range within (80 90]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[107],0,(80 90],-12,0136374_2020-8-20-16-34-15,,,
Counter for Range within (80 90]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[106],0,(80 90],-14,0136374_2020-8-20-16-34-15,,,
Counter for Range within (80 90]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[105],0,(80 90],-16,0136374_2020-8-20-16-34-15,,,
Counter for Range within (80 90]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[112],0,(80 90],-2,0136374_2020-8-20-16-34-15,,,
Counter for Range within (80 90]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[115],0,(80 90],4,0136374_2020-8-20-16-34-15,,,
Counter for Range within (80 90]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[111],0,(80 90],-4,0136374_2020-8-20-16-34-15,,,
Counter for Range within (80 90]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[110],0,(80 90],-6,0136374_2020-8-20-16-34-15,,,
Counter for Range within (80 90]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[109],0,(80 90],-8,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed 150 kph and greater when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[10],0,(150<),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed 150 kph and greater when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[10],0,(150<),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (0-15] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[0],0,(0-15),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (0-15] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[0],65,(0-15),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (105-120] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[7],0,(105-120),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (105-120] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[7],0,(105-120),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (120-135] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[8],0,(120-135),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (120-135] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[8],0,(120-135),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (135-150] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[9],0,(135-150),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (135-150] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[9],0,(135-150),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (15-30] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[1],0,(15-30),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (15-30] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[1],42,(15-30),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (30-45] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[2],0,(30-45),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (30-45] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[2],24,(30-45),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (45-60] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[3],0,(45-60),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (45-60] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[3],122,(45-60),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (60-75] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[4],0,(60-75),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (60-75] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[4],41,(60-75),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (75-90] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[5],0,(75-90),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (75-90] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[5],0,(75-90),N/A,0136374_2020-8-20-16-34-15,,,
Counter for Vehicle Speed within (90-105] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[6],0,(90-105),N/A,0136374_2020-8-20-16-34-15,,,
